food_text_raw,food_name_std,meal_id,event_id,assumption_reason,usda_match_status
fasting,,94,038e7c4b8e1f,default_missing_qty_unit_100g,missing
fasting,,99,39fa02d8c853,default_missing_qty_unit_100g,missing
fasting,,105,4a69e82cd462,default_missing_qty_unit_100g,missing
fasting,,115,134d71ae4773,default_missing_qty_unit_100g,missing
pizza slice,pizza,119,4de09ecaf586,default_missing_qty_unit_100g,missing
fasting,,120,0b44a31db2aa,default_missing_qty_unit_100g,missing
fasting,,125,6534f447b70f,default_missing_qty_unit_100g,missing
fasting,,130,94b34a3e3d3f,default_missing_qty_unit_100g,missing
cup of apple cider vinegar,apple cider vinegar,134,12ad0fe42a22,default_missing_qty_unit_100g,missing
fasting,,136,973cbc93cc95,default_missing_qty_unit_100g,missing
fasting,,141,a63acbdc1e34,default_missing_qty_unit_100g,missing
fasting,,146,ff72080a12a1,default_missing_qty_unit_100g,missing
fasting,,151,a4ecc45936df,default_missing_qty_unit_100g,missing
sweet peas,sweet peas,153,7ac04083f741,default_missing_qty_unit_100g,missing
fasting,,156,ac4b7a265701,default_missing_qty_unit_100g,missing
bluberries,bluberries,160,49c5c7ea140b,default_missing_qty_unit_100g,missing
grn apple,green apple,160,49c5c7ea140b,default_missing_qty_unit_100g,missing
fasting,,161,9a40c2292026,default_missing_qty_unit_100g,missing
fasting,,165,31209151a582,default_missing_qty_unit_100g,missing
at hospital,at hospital,166,4442f88cbdca,default_missing_qty_unit_100g,missing
fasting,,170,b9b4f04097f0,default_missing_qty_unit_100g,missing
Intralipids,intralipids,171,98bc6aacfb75,default_missing_qty_unit_100g,missing
blueberries/1/2 kiwi,blueberries/1/2 kiwi,175,61687e732376,default_missing_qty_unit_100g,missing
fasting,,176,a96ce92f259e,default_missing_qty_unit_100g,missing
fasting,,179,09c86b560178,default_missing_qty_unit_100g,missing
fasting,,184,9dc95a53145b,default_missing_qty_unit_100g,missing
fasting,,189,a4a1b4b219ea,default_missing_qty_unit_100g,missing
fasting,,193,edef9dded5d3,default_missing_qty_unit_100g,missing
pork patty,pork patty,197,b56193c807a4,default_missing_qty_unit_100g,missing
fasting,,198,c645a242d53b,default_missing_qty_unit_100g,missing
fasting,,203,7690be5c9764,default_missing_qty_unit_100g,missing
2 eggs,eggs,1,91ed4476c418,inferred_unit_count_missing_unit,missing
1 kiwi,kiwi,3,ca24887fcd70,inferred_unit_count_missing_unit,missing
1 kiwi,kiwi,7,106e551095ec,inferred_unit_count_missing_unit,missing
2 eggs,eggs,9,fb6893e31123,inferred_unit_count_missing_unit,missing
1 kiwi,kiwi,10,9162cb29e8ec,inferred_unit_count_missing_unit,missing
2 eggs,eggs,13,b9bc5cb4526c,inferred_unit_count_missing_unit,missing
2 eggs,eggs,16,37704f9e05b6,inferred_unit_count_missing_unit,missing
6 olives,olives,17,f9e155c00daa,inferred_unit_count_missing_unit,missing
1 kiwi,kiwi,18,7c305f480ad4,inferred_unit_count_missing_unit,missing
2 eggs,eggs,19,0ae50f3b9a6a,inferred_unit_count_missing_unit,missing
2 eggs,eggs,21,d68a8c8b6c55,inferred_unit_count_missing_unit,missing
2 eggs,eggs,24,e462eda30032,inferred_unit_count_missing_unit,missing
6 olives,olives,26,f3dc4502097d,inferred_unit_count_missing_unit,missing
6 olives,olives,27,ae1d94a1e50d,inferred_unit_count_missing_unit,missing
2 eggs,eggs,28,fad97f100d5f,inferred_unit_count_missing_unit,missing
2 eggs,eggs,30,38b8553f1229,inferred_unit_count_missing_unit,missing
6 olives,olives,31,66c9f9812c83,inferred_unit_count_missing_unit,missing
1 bread roll,bread,32,3754fce4ff35,inferred_unit_count_missing_unit,missing
3 eggs,eggs,33,41c4a20101e0,inferred_unit_count_missing_unit,missing
6 olives,olives,34,eb483700af58,inferred_unit_count_missing_unit,missing
6 olives,olives,36,a17f98e8b83d,inferred_unit_count_missing_unit,missing
1 kiwi,kiwi,38,29043cc5585c,inferred_unit_count_missing_unit,missing
2.5 eggs (steamed),eggs,39,ba0fa4f3fd63,inferred_unit_count_missing_unit,missing
1 kiwi,kiwi,41,011ebb462826,inferred_unit_count_missing_unit,missing
1 kiwi,kiwi,44,8d5559c58467,inferred_unit_count_missing_unit,missing
2 eggs,eggs,45,582954e8f776,inferred_unit_count_missing_unit,missing
1 kiwi,kiwi,47,327a15cb8302,inferred_unit_count_missing_unit,missing
2 eggs,eggs,49,131dc62edd22,inferred_unit_count_missing_unit,missing
3 eggs,eggs,52,9e325a87788a,inferred_unit_count_missing_unit,missing
9 olives,olives,53,25599ce57245,inferred_unit_count_missing_unit,missing
1 kiwi,kiwi,54,577631dabfcd,inferred_unit_count_missing_unit,missing
2 eggs,eggs,56,51b016f1e24a,inferred_unit_count_missing_unit,missing
1 kiwi,kiwi,58,e2e5c64ac5c8,inferred_unit_count_missing_unit,missing
2 eggs,eggs,60,f563ab9f2332,inferred_unit_count_missing_unit,missing
2 eggs,eggs,64,ece86dabfa26,inferred_unit_count_missing_unit,missing
2 eggs,eggs,65,61baf4b7a337,inferred_unit_count_missing_unit,missing
2 eggs,eggs,68,73e321337316,inferred_unit_count_missing_unit,missing
2 eggs,eggs,69,1827b19262bd,inferred_unit_count_missing_unit,missing
2 eggs,eggs,73,f3703eaea826,inferred_unit_count_missing_unit,missing
2 eggs,eggs,77,de4370235f31,inferred_unit_count_missing_unit,missing
2 eggs,eggs,78,3d6751f28e1b,inferred_unit_count_missing_unit,missing
2 eggs,eggs,81,b53170036933,inferred_unit_count_missing_unit,missing
2 eggs,eggs,85,3d639e953fb1,inferred_unit_count_missing_unit,missing
2 eggs,eggs,87,611fb5c8548d,inferred_unit_count_missing_unit,missing
2 eggs,eggs,91,25bced6a10c1,inferred_unit_count_missing_unit,missing
2 eggs,eggs,93,32ba0633ac4d,inferred_unit_count_missing_unit,missing
2 eggs,eggs,95,7955bb3e164e,inferred_unit_count_missing_unit,missing
2 eggs,eggs,100,4b29dacb814f,inferred_unit_count_missing_unit,missing
2 eggs,eggs,106,19490605502f,inferred_unit_count_missing_unit,missing
2 eggs,eggs,113,5110cda15602,inferred_unit_count_missing_unit,missing
2 eggs,eggs,117,37f1cf8cd09b,inferred_unit_count_missing_unit,missing
2 eggs,eggs,126,a4f818cc5216,inferred_unit_count_missing_unit,missing
2 eggs,eggs,131,aa65d7f85903,inferred_unit_count_missing_unit,missing
2 eggs,eggs,137,02fc2329e416,inferred_unit_count_missing_unit,missing
6 olives,olives,138,937ab0cfb712,inferred_unit_count_missing_unit,missing
2 eggs,eggs,142,ac840aa2e2d5,inferred_unit_count_missing_unit,missing
2 eggs,eggs,144,9b2b6d802931,inferred_unit_count_missing_unit,missing
2 eggs,eggs,150,bf7af6880d7e,inferred_unit_count_missing_unit,missing
2 eggs,eggs,152,333d10785571,inferred_unit_count_missing_unit,missing
2 eggs,eggs,157,efa072ab2fd3,inferred_unit_count_missing_unit,missing
2 eggs,eggs,159,1207bbf6a5f5,inferred_unit_count_missing_unit,missing
2 eggs,eggs,162,3bbf3ceb6c9b,inferred_unit_count_missing_unit,missing
2 eggs,eggs,164,160fdd4fba39,inferred_unit_count_missing_unit,missing
6 olives,olives,166,4442f88cbdca,inferred_unit_count_missing_unit,missing
2 eggs,eggs,167,b4795a4acb91,inferred_unit_count_missing_unit,missing
3 olives,olives,169,ab139bbbfbe6,inferred_unit_count_missing_unit,missing
2 eggs,eggs,171,98bc6aacfb75,inferred_unit_count_missing_unit,missing
2 eggs,eggs,173,018aee552e8c,inferred_unit_count_missing_unit,missing
2 eggs,eggs,177,8b3a8001ca51,inferred_unit_count_missing_unit,missing
2 eggs,eggs,180,98db54c837ce,inferred_unit_count_missing_unit,missing
2 eggs,eggs,185,62c5a564b9c5,inferred_unit_count_missing_unit,missing
2 eggs,eggs,190,7b1bdc267115,inferred_unit_count_missing_unit,missing
2 eggs,eggs,191,ed8f72f2cdef,inferred_unit_count_missing_unit,missing
2 eggs,eggs,194,98e43c4d2604,inferred_unit_count_missing_unit,missing
2 eggs,eggs,196,2631b6d81ef4,inferred_unit_count_missing_unit,missing
2 eggs,eggs,199,5db452e25f23,inferred_unit_count_missing_unit,missing
2 eggs,eggs,204,a8f4060779ab,inferred_unit_count_missing_unit,missing
2 large eggs,large eggs,5,64ebce04833e,inferred_unit_cup_missing_unit,missing
8 pork wontons,pork,7,106e551095ec,inferred_unit_cup_missing_unit,missing
3 oz. sliced beef,oz. sliced beef,9,fb6893e31123,inferred_unit_cup_missing_unit,missing
3 oz. sliced beef,oz. sliced beef,16,37704f9e05b6,inferred_unit_cup_missing_unit,missing
1 small tomato,small tomato,16,37704f9e05b6,inferred_unit_cup_missing_unit,missing
1/2 sliced beef,sliced beef,17,f9e155c00daa,inferred_unit_cup_missing_unit,missing
5 oz. cod fish,oz. cod fish,18,7c305f480ad4,inferred_unit_cup_missing_unit,missing
1/2 sliced beef,sliced beef,18,7c305f480ad4,inferred_unit_cup_missing_unit,missing
1wonton/2 soup dumplings,wonton/2 soup,19,0ae50f3b9a6a,inferred_unit_cup_missing_unit,missing
2 spring rolls,spring,20,c6248a804592,inferred_unit_cup_missing_unit,missing
1/2 avocado,avocado,21,d68a8c8b6c55,inferred_unit_cup_missing_unit,missing
5 oz. pork chops,oz. pork chops,23,dc24b1201d76,inferred_unit_cup_missing_unit,missing
3 veggie spring rolls,veggie spring,29,0d93bb8fb6cb,inferred_unit_cup_missing_unit,missing
1/2 avocado,avocado,38,29043cc5585c,inferred_unit_cup_missing_unit,missing
2.5 hardboiled egg,hardboiled egg,42,e9a80baf6328,inferred_unit_cup_missing_unit,missing
2 packs of crackers,packs crackers,43,426978835642,inferred_unit_cup_missing_unit,missing
2 spring rolls,spring,44,8d5559c58467,inferred_unit_cup_missing_unit,missing
2 Tbs rice noodles,tbs rice noodles,45,582954e8f776,inferred_unit_cup_missing_unit,missing
3 crackers,crackers,46,f121e06f8775,inferred_unit_cup_missing_unit,missing
5 wings,wings,47,327a15cb8302,inferred_unit_cup_missing_unit,missing
1/4 green onion pancake,green onion pancake,50,18a0a6f97cab,inferred_unit_cup_missing_unit,missing
1 petzel,petzel,57,5badfdc86a76,inferred_unit_cup_missing_unit,missing
3 blackberries,blackberries,58,e2e5c64ac5c8,inferred_unit_cup_missing_unit,missing
1/4 fried rice,fried rice,66,eb42b78c71ae,inferred_unit_cup_missing_unit,missing
1/4  yogurt/blueberries/flax/hemp/chia,yogurt/blueberries/flax seed/hempseed/chia seeds,71,dd73c6265a80,inferred_unit_cup_missing_unit,missing
1/4 yogurt/blueberries,yogurt/blueberries,79,e9e3c9928f1f,inferred_unit_cup_missing_unit,missing
1/4 yogurt/blueberries,yogurt/blueberries,85,3d639e953fb1,inferred_unit_cup_missing_unit,missing
1/4 yogurt/blueberries,yogurt/blueberries,87,611fb5c8548d,inferred_unit_cup_missing_unit,missing
1/4 yogurt blueberries/flax/hemp/chia/kiwi,yogurt blueberries/flax seed/hempseed/chia seeds/kiwi,90,de28f0eea4e1,inferred_unit_cup_missing_unit,missing
1/4 yogurt/blueberries,yogurt/blueberries,92,bbbe44543550,inferred_unit_cup_missing_unit,missing
1/4 yogurt blueberries/flax/hemp/chia/kiwi,yogurt blueberries/flax seed/hempseed/chia seeds/kiwi,96,584ac4d50044,inferred_unit_cup_missing_unit,missing
1/4 yogurt blueberries/flax/hemp/chia/kiwi,yogurt blueberries/flax seed/hempseed/chia seeds/kiwi,97,cb9a44cc4b72,inferred_unit_cup_missing_unit,missing
1/4 yogurt blueberries/flax/hemp/chia/kiwi,yogurt blueberries/flax seed/hempseed/chia seeds/kiwi,110,52ba2c12bcb6,inferred_unit_cup_missing_unit,missing
1/4 yogurt blueberries/flax/hemp/chia/kiwi,yogurt blueberries/flax seed/hempseed/chia seeds/kiwi,119,4de09ecaf586,inferred_unit_cup_missing_unit,missing
1 pop pan cracker,pop pan cracker,124,9dd0cc4a1fd9,inferred_unit_cup_missing_unit,missing
0.5 ground pork,ground pork,124,9dd0cc4a1fd9,inferred_unit_cup_missing_unit,missing
2 eggs and cheese,eggs and cheese,124,9dd0cc4a1fd9,inferred_unit_cup_missing_unit,missing
2 spring rolls,spring,140,c6338d16efc0,inferred_unit_cup_missing_unit,missing
1.5 cooked mixed greens,cooked mixed greens,153,7ac04083f741,inferred_unit_cup_missing_unit,missing
1/2 garlic mushrooms,garlic mushrooms,160,49c5c7ea140b,inferred_unit_cup_missing_unit,missing
1.5 mixed greens,mixed greens,162,3bbf3ceb6c9b,inferred_unit_cup_missing_unit,missing
1.5 mixed greens,mixed greens,164,160fdd4fba39,inferred_unit_cup_missing_unit,missing
3 pecans,pecans,169,ab139bbbfbe6,inferred_unit_cup_missing_unit,missing
1/3 apple,apple,202,156da7c717dd,inferred_unit_cup_missing_unit,missing
1.5 piece pork chop,pork chop,3,ca24887fcd70,missing_grams_per_count,missing
1 piece pork chop,pork chop,5,64ebce04833e,missing_grams_per_count,missing
5 dumplings,,33,41c4a20101e0,missing_grams_per_count,missing
3 wontons,,37,44db89634212,missing_grams_per_count,missing
2 wontons,,39,ba0fa4f3fd63,missing_grams_per_count,missing
8 pieces fried tofu with sauce,fried tofu with sauce,44,8d5559c58467,missing_grams_per_count,missing
3 pieces of fried tofu,fried tofu,45,582954e8f776,missing_grams_per_count,missing
3 slices of bacon,bacon,64,ece86dabfa26,missing_grams_per_count,missing
3 slices of bacon,bacon,68,73e321337316,missing_grams_per_count,missing
3 slices of bacon,bacon,73,f3703eaea826,missing_grams_per_count,missing
3 slice of beef,beef,74,fb584a77e6ff,missing_grams_per_count,missing
3 slices of bacon,bacon,78,3d6751f28e1b,missing_grams_per_count,missing
2 slice bacon,bacon,85,3d639e953fb1,missing_grams_per_count,missing
2 pieces of duck,duck,175,61687e732376,missing_grams_per_count,missing
2 cups choy sum,choy sum,1,91ed4476c418,missing_grams_per_cup,missing
1 cup quinoa,quinoa,3,ca24887fcd70,missing_grams_per_cup,missing
2 cups chicken soup,chicken soup,3,ca24887fcd70,missing_grams_per_cup,missing
1 cup stir fry green beans,stir fry green beans,3,ca24887fcd70,missing_grams_per_cup,missing
0.5 cup blanched Choy Sum,blanched choy sum,3,ca24887fcd70,missing_grams_per_cup,missing
1 cup stir fry green beans,stir fry green beans,5,64ebce04833e,missing_grams_per_cup,missing
0.5 cup blanched Choy Sum,blanched choy sum,5,64ebce04833e,missing_grams_per_cup,missing
1 tsp flax seed,flax seed seed,6,5bf626f28400,missing_grams_per_cup,missing
1 tsp hemp seeds,hempseed seeds,6,5bf626f28400,missing_grams_per_cup,missing
1/2 cup yogurt,yogurt,6,5bf626f28400,missing_grams_per_cup,missing
1.5 cups choy sum,choy sum,7,106e551095ec,missing_grams_per_cup,missing
2 cups watercress,watercress,9,fb6893e31123,missing_grams_per_cup,missing
1 tsp flax seed,flax seed seed,10,9162cb29e8ec,missing_grams_per_cup,missing
1 tsp hemp seeds,hempseed seeds,10,9162cb29e8ec,missing_grams_per_cup,missing
1/2 cup yogurt,yogurt,10,9162cb29e8ec,missing_grams_per_cup,missing
1/2 cup quinoa,quinoa,11,3000dce621db,missing_grams_per_cup,missing
2 cups chicken soup,chicken soup,11,3000dce621db,missing_grams_per_cup,missing
1.25 cup ground pork,ground pork,11,3000dce621db,missing_grams_per_cup,missing
1.25 cup ground tofu,ground tofu,11,3000dce621db,missing_grams_per_cup,missing
2 cups choy sum,choy sum,11,3000dce621db,missing_grams_per_cup,missing
1/2 cup quinoa,quinoa,13,b9bc5cb4526c,missing_grams_per_cup,missing
0.5 cup ground pork,ground pork,13,b9bc5cb4526c,missing_grams_per_cup,missing
0.5 cup ground tofu,ground tofu,13,b9bc5cb4526c,missing_grams_per_cup,missing
1 cup choy sum,choy sum,13,b9bc5cb4526c,missing_grams_per_cup,missing
1 tsp flax seed,flax seed seed,14,b2ee93aed86a,missing_grams_per_cup,missing
1 tsp hemp seeds,hempseed seeds,14,b2ee93aed86a,missing_grams_per_cup,missing
1/2 cup yogurt,yogurt,14,b2ee93aed86a,missing_grams_per_cup,missing
1/2 cup quinoa,quinoa,15,a6c8bed59d29,missing_grams_per_cup,missing
1.0 cup ground pork,ground pork,15,a6c8bed59d29,missing_grams_per_cup,missing
1.0 cup ground soy beans,ground soy beans,15,a6c8bed59d29,missing_grams_per_cup,missing
2 cups pea shoots,pea shoots,15,a6c8bed59d29,missing_grams_per_cup,missing
1.5 cups cashew milk,cashew milk,16,37704f9e05b6,missing_grams_per_cup,missing
1 cup pea shoots,pea shoots,16,37704f9e05b6,missing_grams_per_cup,missing
3/4 cup quinoa,quinoa,18,7c305f480ad4,missing_grams_per_cup,missing
1/2 cup okra,okra,18,7c305f480ad4,missing_grams_per_cup,missing
0.5 cup broccoli okra,broccoli okra,19,0ae50f3b9a6a,missing_grams_per_cup,missing
1 cup bak choy,bak choy,21,d68a8c8b6c55,missing_grams_per_cup,missing
1/2 cup gai lai,gai lai,21,d68a8c8b6c55,missing_grams_per_cup,missing
200.0 ml of choco,choco,22,fe8cc9a59944,missing_grams_per_cup,missing
200.0 ml of cashew milk,cashew milk,22,fe8cc9a59944,missing_grams_per_cup,missing
1/2 cup gai lan,gai lan,22,fe8cc9a59944,missing_grams_per_cup,missing
3/4 cup quinoa,quinoa,23,dc24b1201d76,missing_grams_per_cup,missing
1 cup gai lan,gai lan,23,dc24b1201d76,missing_grams_per_cup,missing
1 tsp rice,rice,24,e462eda30032,missing_grams_per_cup,missing
2 cups stirfry noodles,stir fried noodles,25,fe1a1d6326fc,missing_grams_per_cup,missing
1/2 cup chicken rice,chicken rice,25,fe1a1d6326fc,missing_grams_per_cup,missing
2 cups melons,melons,25,fe1a1d6326fc,missing_grams_per_cup,missing
3 cup mixed Chinese veggies,mixed chinese vegetables,25,fe1a1d6326fc,missing_grams_per_cup,missing
3 cup chicken soup,chicken soup,26,f3dc4502097d,missing_grams_per_cup,missing
1 cup mix Chinese veggies,mix chinese vegetables,28,fad97f100d5f,missing_grams_per_cup,missing
1 cup stirfry noodles,stir fried noodles,29,0d93bb8fb6cb,missing_grams_per_cup,missing
2 cups melons,melons,29,0d93bb8fb6cb,missing_grams_per_cup,missing
3 cup mixed Chinese veggies,mixed chinese vegetables,29,0d93bb8fb6cb,missing_grams_per_cup,missing
1.0 cup stirfy pork,stirfy pork,29,0d93bb8fb6cb,missing_grams_per_cup,missing
1.0 cup stirfy green beans,stirfy green beans,29,0d93bb8fb6cb,missing_grams_per_cup,missing
1/2 cup udon noodles,udon noodles,30,38b8553f1229,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,30,38b8553f1229,missing_grams_per_cup,missing
1 cup melons,melons,32,3754fce4ff35,missing_grams_per_cup,missing
3/4 cup quinoa,quinoa,35,7d072a0b35cd,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,35,7d072a0b35cd,missing_grams_per_cup,missing
1/2 cup quinoa,quinoa,37,44db89634212,missing_grams_per_cup,missing
1/2 cup melons,melons,37,44db89634212,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,37,44db89634212,missing_grams_per_cup,missing
3/4 cup quinoa,quinoa,38,29043cc5585c,missing_grams_per_cup,missing
5 cups miso soup with tofu,miso soup with tofu,40,48e233f74ba8,missing_grams_per_cup,missing
1/2 cup quinoa,quinoa,41,011ebb462826,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,41,011ebb462826,missing_grams_per_cup,missing
1/2 cup ground pork,ground pork,42,e9a80baf6328,missing_grams_per_cup,missing
1 cup chinese veggies,chinese vegetables,42,e9a80baf6328,missing_grams_per_cup,missing
3 cup mixed Chinese veggies,mixed chinese vegetables,44,8d5559c58467,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,45,582954e8f776,missing_grams_per_cup,missing
1/4 cup cashew nuts,cashew nuts,46,f121e06f8775,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,47,327a15cb8302,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,49,131dc62edd22,missing_grams_per_cup,missing
2 cups mixed veggies,mixed vegetables,50,18a0a6f97cab,missing_grams_per_cup,missing
1 cup black fungus,wood ear mushroom mushroom,50,18a0a6f97cab,missing_grams_per_cup,missing
3/4 cup quinoa,quinoa,54,577631dabfcd,missing_grams_per_cup,missing
2 cups choy sum,choy sum,54,577631dabfcd,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,56,51b016f1e24a,missing_grams_per_cup,missing
1/2 cup quinoa,quinoa,58,e2e5c64ac5c8,missing_grams_per_cup,missing
0.75 cup ground pork,ground pork,58,e2e5c64ac5c8,missing_grams_per_cup,missing
0.75 cup ground tofu,ground tofu,58,e2e5c64ac5c8,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,58,e2e5c64ac5c8,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,60,f563ab9f2332,missing_grams_per_cup,missing
1/4 cup rice noodles,rice noodles,61,1fadb7d0da5a,missing_grams_per_cup,missing
2 cups chinese veggies,chinese vegetables,61,1fadb7d0da5a,missing_grams_per_cup,missing
1 cup chinese veggies,chinese vegetables,62,8556e07d9bc0,missing_grams_per_cup,missing
0.25 cup yogurt and nuts,yogurt and nuts,65,61baf4b7a337,missing_grams_per_cup,missing
0.75 cup ground pork,ground pork,66,eb42b78c71ae,missing_grams_per_cup,missing
0.75 cup ground mushroom,ground mushroom,66,eb42b78c71ae,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,73,f3703eaea826,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,74,fb584a77e6ff,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,77,de4370235f31,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,78,3d6751f28e1b,missing_grams_per_cup,missing
1/2 cup quinoa,quinoa,79,e9e3c9928f1f,missing_grams_per_cup,missing
0.5 cup ground pork,ground pork,79,e9e3c9928f1f,missing_grams_per_cup,missing
0.5 cup ground tofu,ground tofu,79,e9e3c9928f1f,missing_grams_per_cup,missing
2 cups stir fry mixed greens,stir fry mixed greens,81,b53170036933,missing_grams_per_cup,missing
0.25 cup tofu ground pork,tofu ground pork,82,3a73fac04dd4,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,82,3a73fac04dd4,missing_grams_per_cup,missing
1/2 cup quinoa,quinoa,83,1ca9fbe77502,missing_grams_per_cup,missing
2 cups choy sum,choy sum,83,1ca9fbe77502,missing_grams_per_cup,missing
2 cups choy sum,choy sum,85,3d639e953fb1,missing_grams_per_cup,missing
2 cups chinese veggies,chinese vegetables,86,fe804b6b1dac,missing_grams_per_cup,missing
2 cups chicken soup,chicken soup,87,611fb5c8548d,missing_grams_per_cup,missing
1 cup chinese veggies,chinese vegetables,87,611fb5c8548d,missing_grams_per_cup,missing
2 cups bak choy,bak choy,91,25bced6a10c1,missing_grams_per_cup,missing
1/5 cups bak choy,bak choy,93,32ba0633ac4d,missing_grams_per_cup,missing
2 cups choy sum,choy sum,95,7955bb3e164e,missing_grams_per_cup,missing
0.75 cup ground pork,ground pork,98,a86543631a17,missing_grams_per_cup,missing
0.75 cup ground tofu,ground tofu,98,a86543631a17,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,100,4b29dacb814f,missing_grams_per_cup,missing
2 cups choy sum,choy sum,102,e0c8a56f8283,missing_grams_per_cup,missing
1/2 cup chicken rice,chicken rice,103,23a41388b197,missing_grams_per_cup,missing
1.0 cup kale,kale,103,23a41388b197,missing_grams_per_cup,missing
2 cups of chinese veggies,chinese vegetables,106,19490605502f,missing_grams_per_cup,missing
2 cups choy sum,choy sum,108,60f0679191f3,missing_grams_per_cup,missing
1/2 cup quinoa,quinoa,109,e4b44181fbec,missing_grams_per_cup,missing
